"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-03-30T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",972.56,"provisorisch"
"2026-03-30T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",378.7,"provisorisch"
"2026-03-30T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",60.47,"provisorisch"
"2026-03-30T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.75,"provisorisch"
"2026-03-30T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.06,"provisorisch"
"2026-03-30T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.99,"provisorisch"
"2026-03-31T00:00+0100","Zch_Heubeeribüel","T","d1","°C",1.79,"provisorisch"
"2026-03-31T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",4.74,"provisorisch"
"2026-03-31T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",952.92,"provisorisch"
"2026-03-31T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",NA,"provisorisch"
"2026-03-31T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",NA,"provisorisch"
"2026-03-31T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",NA,"provisorisch"
"2026-03-31T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",NA,"provisorisch"
"2026-03-31T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",281.62,"provisorisch"
"2026-03-31T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",4.32,"provisorisch"
"2026-03-31T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.78,"provisorisch"
"2026-03-31T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",976.35,"provisorisch"
"2026-03-31T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",146.53,"provisorisch"
"2026-03-31T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",132.24,"provisorisch"
"2026-03-31T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.23,"provisorisch"
"2026-03-31T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.79,"provisorisch"
"2026-03-31T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.68,"provisorisch"
"2026-04-01T00:00+0100","Zch_Heubeeribüel","T","d1","°C",2.49,"provisorisch"
"2026-04-01T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",5.5,"provisorisch"
"2026-04-01T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",950.11,"provisorisch"
"2026-04-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",163.72,"provisorisch"
"2026-04-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",4.46,"provisorisch"
"2026-04-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.93,"provisorisch"
"2026-04-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",970.83,"provisorisch"
"2026-04-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",337.4,"provisorisch"
