"Datum","Geschaeft","Einheit_Code","Einheit_Name","Einheit_BFS","Einheit_BFSSub","Einheit_StimmenTotal","Partei","Partei_Kandstimmen","Partei_Zusatzstimmen","Partei_ParteistimmenTotal"
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"EVP",906,25,931
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"FGA/AL/PDA",215,0,215
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"EDU",452,5,457
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"Übrige",1336,101,1437
2023-10-22,"Nationalratswahl 2023","ZH027","Feuerthalen",27,27,34715,"SD",26,0,26
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"SVP",9455,124,9579
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"SP",1683,93,1776
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"GP",865,2,867
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"GLP",1616,70,1686
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"FDP",1769,79,1848
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"Mitte",1011,9,1020
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"EVP",1341,54,1395
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"FGA/AL/PDA",10,0,10
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"EDU",705,66,771
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"Übrige",519,54,573
2023-10-22,"Nationalratswahl 2023","ZH028","Flaach",28,28,19527,"SD",2,0,2
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"SVP",4543,44,4587
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"SP",4650,121,4771
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"GP",2101,1,2102
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"GLP",2245,91,2336
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"FDP",2949,116,3065
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"Mitte",1351,3,1354
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"EVP",442,22,464
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"FGA/AL/PDA",119,0,119
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"EDU",221,40,261
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"Übrige",334,0,334
2023-10-22,"Nationalratswahl 2023","ZH029","Flurlingen",29,29,19400,"SD",7,0,7
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"SVP",11141,238,11379
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"SP",4088,101,4189
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"GP",1961,19,1980
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"GLP",3772,79,3851
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"FDP",3007,109,3116
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"Mitte",3252,200,3452
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"EVP",2026,18,2044
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"FGA/AL/PDA",150,0,150
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"EDU",1026,42,1068
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"Übrige",689,281,970
2023-10-22,"Nationalratswahl 2023","ZH031","Henggart",31,31,32202,"SD",3,0,3
2023-10-22,"Nationalratswahl 2023","ZH033","Kleinandelfingen",33,33,27644,"SVP",10978,404,11382
2023-10-22,"Nationalratswahl 2023","ZH033","Kleinandelfingen",33,33,27644,"SP",3096,183,3279
2023-10-22,"Nationalratswahl 2023","ZH033","Kleinandelfingen",33,33,27644,"GP",2081,73,2154
2023-10-22,"Nationalratswahl 2023","ZH033","Kleinandelfingen",33,33,27644,"GLP",2599,43,2642
2023-10-22,"Nationalratswahl 2023","ZH033","Kleinandelfingen",33,33,27644,"FDP",2476,151,2627
2023-10-22,"Nationalratswahl 2023","ZH033","Kleinandelfingen",33,33,27644,"Mitte",2401,171,2572
